Local time,Symbol,Ask,Bid,AskVolume,BidVolume
18.11.2019 00:00:07.662,Gas,588.91,588.01,0.0005,0.0005
18.11.2019 00:00:22.428,Gas,588.909,588.009,0.0005,0.0001
18.11.2019 00:01:13.837,Gas,588.779,587.879,0.0005,0.0001
18.11.2019 00:03:25.301,Gas,588.909,588.009,0.0005,0.0005
18.11.2019 00:05:02.228,Gas,588.91,588.01,0.0005,0.0001
18.11.2019 00:06:54.516,Gas,588.909,588.009,0.0005,0.0001
18.11.2019 00:07:09.808,Gas,588.779,587.879,0.0005,0.0001
18.11.2019 00:07:12.353,Gas,588.909,588.009,0.0005,0.0005
18.11.2019 00:07:12.857,Gas,588.91,588.01,0.0005,0.0001
18.11.2019 00:07:29.265,Gas,588.909,588.009,0.0005,0.0003
18.11.2019 00:07:37.739,Gas,588.91,588.01,0.0005,0.0001
18.11.2019 00:08:59.260,Gas,588.909,588.009,0.0005,0.0004
18.11.2019 00:09:00.693,Gas,588.91,588.01,0.0005,0.0001
18.11.2019 00:09:01.959,Gas,588.909,588.009,0.0005,0.0001
18.11.2019 00:09:34.937,Gas,588.91,588.01,0.0005,0.0004
18.11.2019 00:09:37.142,Gas,588.909,588.009,0.0005,0.0001
18.11.2019 00:10:46.824,Gas,588.779,587.879,0.0005,0.0001
18.11.2019 00:10:47.430,Gas,588.78,587.88,0.0005,0.0005
18.11.2019 00:11:03.769,Gas,588.659,587.759,0.0005,0.0005
18.11.2019 00:11:04.438,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:11:06.045,Gas,588.659,587.759,0.0002,0.0004
18.11.2019 00:11:09.340,Gas,588.66,587.76,0.0002,0.0004
18.11.2019 00:11:11.224,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:11:18.142,Gas,588.53,587.63,0.0005,0.0001
18.11.2019 00:11:18.929,Gas,588.66,587.76,0.0005,0.0005
18.11.2019 00:11:20.166,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:11:21.337,Gas,588.529,587.629,0.0005,0.0001
18.11.2019 00:11:22.030,Gas,588.53,587.63,0.0005,0.0005
18.11.2019 00:11:47.921,Gas,588.41,587.51,0.0005,0.0005
18.11.2019 00:11:48.634,Gas,588.659,587.759,0.0001,0.0005
18.11.2019 00:11:50.374,Gas,588.66,587.76,0.0003,0.0001
18.11.2019 00:11:52.456,Gas,588.659,587.759,0.0004,0.0001
18.11.2019 00:11:54.833,Gas,588.66,587.76,0.0003,0.0001
18.11.2019 00:11:57.463,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:12:00.658,Gas,588.529,587.629,0.0005,0.0001
18.11.2019 00:12:01.613,Gas,588.409,587.509,0.0005,0.0005
18.11.2019 00:12:02.137,Gas,588.41,587.51,0.0001,0.0005
18.11.2019 00:12:02.840,Gas,588.53,587.63,0.0001,0.0005
18.11.2019 00:12:03.654,Gas,588.529,587.629,0.0005,0.0005
18.11.2019 00:12:10.346,Gas,588.659,587.759,0.0005,0.0005
18.11.2019 00:12:16.031,Gas,588.41,587.51,0.0005,0.0001
18.11.2019 00:12:16.638,Gas,588.409,587.509,0.0002,0.0005
18.11.2019 00:12:17.340,Gas,588.529,587.629,0.0002,0.0005
18.11.2019 00:12:27.686,Gas,588.66,587.76,0.0005,0.0005
18.11.2019 00:12:28.190,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:13:22.411,Gas,588.66,587.76,0.0005,0.0004
18.11.2019 00:13:46.599,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:13:48.624,Gas,588.66,587.76,0.0005,0.0001
18.11.2019 00:13:54.431,Gas,588.659,587.759,0.0005,0.0002
18.11.2019 00:13:59.249,Gas,588.66,587.76,0.0005,0.0001
18.11.2019 00:14:02.243,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:14:33.574,Gas,588.66,587.76,0.0005,0.0002
18.11.2019 00:14:50.197,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:14:53.471,Gas,588.66,587.76,0.0005,0.0001
18.11.2019 00:15:28.078,Gas,588.659,587.759,0.0005,0.0002
18.11.2019 00:15:39.077,Gas,588.66,587.76,0.0005,0.0002
18.11.2019 00:16:23.180,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:16:25.658,Gas,588.66,587.76,0.0005,0.0002
18.11.2019 00:16:52.026,Gas,588.659,587.759,0.0005,0.0002
18.11.2019 00:16:53.307,Gas,588.66,587.76,0.0005,0.0002
18.11.2019 00:17:56.705,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:18:22.875,Gas,588.66,587.76,0.0005,0.0002
18.11.2019 00:18:50.198,Gas,588.659,587.759,0.0003,0.0004
18.11.2019 00:18:54.460,Gas,588.66,587.76,0.0003,0.0002
18.11.2019 00:19:55.333,Gas,588.659,587.759,0.0005,0.0002
18.11.2019 00:20:09.539,Gas,588.66,587.76,0.0005,0.0004
18.11.2019 00:20:18.436,Gas,588.659,587.759,0.0005,0.0002
18.11.2019 00:21:59.638,Gas,588.66,587.76,0.0005,0.0005
18.11.2019 00:24:02.232,Gas,588.659,587.759,0.0005,0.0002
18.11.2019 00:24:09.991,Gas,588.66,587.76,0.0005,0.0004
18.11.2019 00:24:38.426,Gas,588.659,587.759,0.0005,0.0004
18.11.2019 00:25:05.649,Gas,588.66,587.76,0.0002,0.0004
18.11.2019 00:25:45.042,Gas,588.659,587.759,0.0005,0.0005
18.11.2019 00:25:51.114,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:25:57.438,Gas,588.659,587.759,0.0003,0.0005
18.11.2019 00:26:07.843,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:26:21.877,Gas,588.659,587.759,0.0003,0.0005
18.11.2019 00:26:39.416,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:27:19.021,Gas,588.659,587.759,0.0002,0.0005
18.11.2019 00:27:28.045,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:27:28.664,Gas,588.779,587.879,0.0002,0.0004
18.11.2019 00:27:30.253,Gas,588.659,587.759,0.0005,0.0005
18.11.2019 00:27:32.803,Gas,588.66,587.76,0.0002,0.0004
18.11.2019 00:27:41.524,Gas,588.659,587.759,0.0001,0.0005
18.11.2019 00:28:07.258,Gas,588.66,587.76,0.0001,0.0004
18.11.2019 00:28:48.618,Gas,588.659,587.759,0.0002,0.0004
18.11.2019 00:29:00.366,Gas,588.779,587.879,0.0002,0.0004
18.11.2019 00:29:00.932,Gas,588.78,587.88,0.0005,0.0005
18.11.2019 00:29:54.220,Gas,588.91,588.01,0.0005,0.0005
18.11.2019 00:30:27.541,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:30:28.045,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:30:29.028,Gas,588.659,587.759,0.0002,0.0004
18.11.2019 00:30:30.143,Gas,588.779,587.879,0.0002,0.0004
18.11.2019 00:31:13.948,Gas,588.659,587.759,0.0005,0.0005
18.11.2019 00:31:21.782,Gas,588.78,587.88,0.0003,0.0004
18.11.2019 00:31:22.353,Gas,588.779,587.879,0.0005,0.0005
18.11.2019 00:31:30.415,Gas,588.91,588.01,0.0005,0.0005
18.11.2019 00:31:50.490,Gas,588.909,588.009,0.0005,0.0001
18.11.2019 00:32:01.333,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:32:02.541,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:32:05.141,Gas,588.659,587.759,0.0002,0.0004
18.11.2019 00:32:06.842,Gas,588.779,587.879,0.0002,0.0004
18.11.2019 00:32:07.533,Gas,588.78,587.88,0.0005,0.0004
18.11.2019 00:32:15.344,Gas,588.779,587.879,0.0005,0.0005
18.11.2019 00:32:42.553,Gas,588.909,588.009,0.0005,0.0005
18.11.2019 00:32:43.133,Gas,588.91,588.01,0.0005,0.0001
18.11.2019 00:33:29.363,Gas,588.909,588.009,0.0005,0.0004
18.11.2019 00:33:37.993,Gas,588.91,588.01,0.0005,0.0004
18.11.2019 00:33:40.567,Gas,588.909,588.009,0.0005,0.0004
18.11.2019 00:34:38.225,Gas,588.78,587.88,0.0005,0.0004
18.11.2019 00:34:39.535,Gas,588.779,587.879,0.0005,0.0005
18.11.2019 00:35:39.137,Gas,588.91,588.01,0.0005,0.0005
18.11.2019 00:35:52.376,Gas,588.909,588.009,0.0005,0.0001
18.11.2019 00:36:13.339,Gas,588.91,588.01,0.0005,0.0001
18.11.2019 00:36:37.145,Gas,588.909,588.009,0.0005,0.0001
18.11.2019 00:36:48.237,Gas,588.91,588.01,0.0005,0.0001
18.11.2019 00:37:39.969,Gas,588.659,587.759,0.0005,0.0003
18.11.2019 00:37:41.843,Gas,588.66,587.76,0.0001,0.0005
18.11.2019 00:38:54.937,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:39:00.839,Gas,588.659,587.759,0.0001,0.0005
18.11.2019 00:39:16.637,Gas,588.66,587.76,0.0001,0.0005
18.11.2019 00:40:03.112,Gas,588.659,587.759,0.0001,0.0005
18.11.2019 00:40:10.568,Gas,588.66,587.76,0.0002,0.0005
18.11.2019 00:40:24.595,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:41:26.340,Gas,588.66,587.76,0.0004,0.0002
18.11.2019 00:42:18.738,Gas,588.659,587.759,0.0005,0.0001
18.11.2019 00:42:33.662,Gas,588.66,587.76,0.0005,0.0003
18.11.2019 00:42:44.677,Gas,588.659,587.759,0.0001,0.0004
18.11.2019 00:42:46.757,Gas,588.66,587.76,0.0001,0.0004
18.11.2019 00:42:49.779,Gas,588.659,587.759,0.0001,0.0004
18.11.2019 00:42:57.338,Gas,588.66,587.76,0.0003,0.0004
18.11.2019 00:43:18.397,Gas,588.659,587.759,0.0004,0.0003
18.11.2019 00:43:25.066,Gas,588.66,587.76,0.0003,0.0004
18.11.2019 00:43:28.172,Gas,588.659,587.759,0.0001,0.0004
18.11.2019 00:43:29.650,Gas,588.66,587.76,0.0001,0.0004
18.11.2019 00:43:31.338,Gas,588.659,587.759,0.0002,0.0004
18.11.2019 00:43:57.344,Gas,588.66,587.76,0.0002,0.0004
18.11.2019 00:44:15.475,Gas,588.659,587.759,0.0004,0.0003
18.11.2019 00:44:37.324,Gas,588.66,587.76,0.0004,0.0004
